date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,qualifier,is_synthetic
1956-09-23,Germany,Netherlands,2,1,Friendly,Essen,Germany,False,0,False
1957-07-28,Germany,England,1,1,Friendly,Stuttgart,Germany,False,0,False
1957-10-13,Germany,Netherlands,2,0,Friendly,Berlin,Germany,False,0,False
1957-11-03,Netherlands,Austria,8,1,UEFA Euro,Berlin,Germany,True,0,False
1957-11-03,Germany,England,0,4,UEFA Euro,Berlin,Germany,False,0,False
1969-11-01,Italy,France,1,0,UEFA Euro,Novara,Italy,False,0,False
1969-11-01,Denmark,England,4,3,UEFA Euro,Aosta,Italy,True,0,False
1969-11-02,England,France,2,0,UEFA Euro,Turin,Italy,True,0,False
1969-11-02,Italy,Denmark,3,1,UEFA Euro,Turin,Italy,False,0,False
1970-07-06,England,Germany,5,1,FIFA World Cup,Genova,Italy,True,0,False
1970-07-06,Mexico,Austria,9,0,FIFA World Cup,Bari,Italy,True,0,False
1970-07-09,Denmark,Germany,6,1,FIFA World Cup,Bologna,Italy,True,0,False
1970-07-09,Italy,Switzerland,2,1,FIFA World Cup,Salerno,Italy,False,0,False
1970-07-10,Denmark,England,2,0,FIFA World Cup,Milan,Italy,True,0,False
1970-07-11,Italy,Mexico,2,1,FIFA World Cup,Napoli,Italy,False,0,False
1970-07-13,Mexico,England,3,2,FIFA World Cup,Torino,Italy,True,0,False
1970-07-15,Italy,Denmark,0,2,FIFA World Cup,Torino,Italy,False,0,False
1971-08-15,Mexico,Argentina,3,1,FIFA World Cup,Mexico City,Mexico,False,0,False
1971-08-18,Denmark,France,3,0,FIFA World Cup,Guadalajara,Mexico,True,0,False
1971-08-21,Argentina,England,4,1,FIFA World Cup,Mexico City,Mexico,True,0,False
1971-08-21,France,Italy,0,1,FIFA World Cup,Guadalajara,Mexico,True,0,False
1971-08-22,Mexico,England,4,0,FIFA World Cup,Mexico City,Mexico,False,0,False
1971-08-22,Denmark,Italy,1,1,FIFA World Cup,Guadalajara,Mexico,True,0,False
1971-08-28,Denmark,Argentina,5,0,FIFA World Cup,Mexico City,Mexico,True,0,False
1971-08-28,England,France,2,3,FIFA World Cup,Guadalajara,Mexico,True,0,False
1971-08-29,Mexico,Italy,2,1,FIFA World Cup,Mexico City,Mexico,False,0,False
1971-09-04,Italy,Argentina,4,0,FIFA World Cup,Guadalajara,Mexico,True,0,False
1971-09-05,Mexico,Denmark,0,3,FIFA World Cup,Mexico City,Mexico,False,0,False
1972-11-18,Scotland,England,2,3,Friendly,Greenock,Scotland,False,0,False
1974-07-26,Finland,Sweden,0,1,Nordic Championship,Mariehamn,Finland,False,0,False
1974-07-27,Denmark,Sweden,1,0,Nordic Championship,Finström,Finland,True,0,False
1974-07-28,Finland,Denmark,0,5,Nordic Championship,Mariehamn,Finland,False,0,False
1975-07-25,Finland,Sweden,0,4,Nordic Championship,Brande,Denmark,True,0,False
1975-07-26,Denmark,Finland,9,0,Nordic Championship,Vejen,Denmark,False,0,False
1975-07-27,Denmark,Sweden,3,0,Nordic Championship,Vejle,Denmark,False,0,False
1975-08-25,Thailand,Australia,3,2,AFC Championship,Hong Kong,Hong Kong,True,0,False
1975-08-25,Hong Kong,New Zealand,0,2,AFC Championship,Hong Kong,Hong Kong,False,0,False
1975-08-27,Thailand,Singapore,3,0,AFC Championship,Hong Kong,Hong Kong,True,0,False
1975-08-27,New Zealand,Malaysia,3,0,AFC Championship,Hong Kong,Hong Kong,True,0,False
1975-08-29,Australia,Singapore,3,0,AFC Championship,Hong Kong,Hong Kong,True,0,False
1975-08-29,Hong Kong,Malaysia,0,2,AFC Championship,Hong Kong,Hong Kong,False,0,False
1975-08-31,New Zealand,Australia,3,2,AFC Championship,Hong Kong,Hong Kong,True,0,False
1975-08-31,Thailand,Malaysia,3,0,AFC Championship,Hong Kong,Hong Kong,True,0,False
1975-09-02,Australia,Malaysia,5,0,AFC Championship,Hong Kong,Hong Kong,True,0,False
1975-09-02,New Zealand,Thailand,3,1,AFC Championship,Hong Kong,Hong Kong,True,0,False
1976-07-09,Denmark,Finland,1,0,Nordic Championship,Fristad,Sweden,True,0,False
1976-07-10,Sweden,Finland,4,1,Nordic Championship,Öxabäck,Sweden,False,0,False
1976-07-11,Sweden,Denmark,0,1,Nordic Championship,Borås,Sweden,False,0,False
1977-07-08,Finland,Sweden,0,4,Nordic Championship,Mariehamn,Finland,False,0,False
1977-07-09,Denmark,Sweden,0,1,Nordic Championship,Mariehamn,Finland,True,0,False
