team,total_matches,win_prob,draw_prob,loss_prob,home_win_prob,away_win_prob,home_advantage,avg_goals_scored,avg_goals_conceded,goal_difference,avg_win_margin,avg_loss_margin
Germany,419,0.6945107398568019,0.13365155131264916,0.1718377088305489,0.7478632478632479,0.6270270270270271,0.12083622083622081,2.8949880668257757,0.7303102625298329,2.164677804295943,3.5051546391752577,1.5694444444444444
Netherlands,339,0.504424778761062,0.1710914454277286,0.32448377581120946,0.5868263473053892,0.42441860465116277,0.16240774265422642,2.056047197640118,1.1592920353982301,0.8967551622418879,2.9883040935672516,1.8818181818181818
Italy,407,0.538083538083538,0.16707616707616707,0.29484029484029484,0.6019417475728155,0.472636815920398,0.12930493165241747,2.0442260442260443,1.1474201474201475,0.8968058968058968,2.7168949771689497,1.9166666666666667
Denmark,457,0.5339168490153173,0.14442013129102846,0.32166301969365424,0.5972222222222222,0.47717842323651455,0.12004379898570766,2.0831509846827134,1.12691466083151,0.9562363238512035,2.959016393442623,1.9387755102040816
England,406,0.5788177339901478,0.16748768472906403,0.2536945812807882,0.6448598130841121,0.5052083333333334,0.13965147975077874,2.312807881773399,0.9926108374384236,1.3201970443349753,3.072340425531915,1.8058252427184467
Mexico,427,0.4215456674473068,0.117096018735363,0.4613583138173302,0.5309278350515464,0.33047210300429186,0.20045573204725453,1.873536299765808,1.8899297423887589,-0.01639344262295082,3.1222222222222222,2.8883248730964466
France,366,0.6284153005464481,0.16120218579234974,0.2103825136612022,0.698019801980198,0.5426829268292683,0.15533687515092964,2.2814207650273226,0.8743169398907104,1.407103825136612,2.860869565217391,1.8571428571428572
Argentina,194,0.4072164948453608,0.15979381443298968,0.4329896907216495,0.5543478260869565,0.27450980392156865,0.2798380221653879,1.6237113402061856,1.9484536082474226,-0.3247422680412371,2.6582278481012658,3.25
Scotland,267,0.46441947565543074,0.10486891385767791,0.4307116104868914,0.4883720930232558,0.4420289855072464,0.046343107516009396,1.9475655430711611,1.6367041198501873,0.31086142322097376,2.9838709677419355,2.4956521739130433
Finland,387,0.3281653746770026,0.16795865633074936,0.5038759689922481,0.36904761904761907,0.2968036529680365,0.07224396607958256,1.3126614987080103,1.7080103359173127,-0.3953488372093023,2.606299212598425,2.482051282051282
Thailand,386,0.5051813471502591,0.08808290155440414,0.4067357512953368,0.5671641791044776,0.43783783783783786,0.12932634126663972,2.3238341968911915,1.9093264248704662,0.41450777202072536,3.6666666666666665,3.535031847133758
Hong Kong,155,0.25806451612903225,0.07096774193548387,0.6709677419354839,0.3283582089552239,0.20454545454545456,0.12381275440976933,0.9483870967741935,3.6,-2.6516129032258067,2.675,4.980769230769231
New Zealand,293,0.4061433447098976,0.11945392491467577,0.47440273037542663,0.48148148148148145,0.34177215189873417,0.1397093295827473,2.2354948805460753,1.6245733788395904,0.6109215017064846,4.226890756302521,2.3309352517985613
Australia,346,0.5144508670520231,0.13872832369942195,0.3468208092485549,0.6170212765957447,0.3924050632911392,0.22461621330460546,2.4248554913294798,1.369942196531792,1.0549132947976878,3.466292134831461,2.1
Sweden,490,0.6040816326530613,0.17551020408163265,0.22040816326530613,0.644,0.5625,0.08150000000000002,2.2551020408163267,0.8755102040816326,1.379591836734694,2.8817567567567566,1.6388888888888888
Taiwan,307,0.49185667752442996,0.08794788273615635,0.4201954397394137,0.5443037974683544,0.436241610738255,0.10806218673009943,2.228013029315961,1.713355048859935,0.5146579804560261,3.7682119205298013,3.186046511627907
Indonesia,187,0.35294117647058826,0.1497326203208556,0.49732620320855614,0.3472222222222222,0.3565217391304348,-0.009299516908212568,1.3529411764705883,2.518716577540107,-1.1657754010695187,2.484848484848485,4.10752688172043
Singapore,217,0.2764976958525346,0.11981566820276497,0.6036866359447005,0.33707865168539325,0.234375,0.10270365168539325,1.1382488479262673,2.7972350230414746,-1.6589861751152073,2.7333333333333334,4.0
Norway,481,0.5738045738045738,0.14553014553014554,0.2806652806652807,0.6680327868852459,0.4767932489451477,0.19123953794009824,2.268191268191268,1.0457380457380456,1.2224532224532225,3.0144927536231885,1.8074074074074074
Northern Ireland,203,0.270935960591133,0.12807881773399016,0.6009852216748769,0.31521739130434784,0.23423423423423423,0.08098315707011361,1.2413793103448276,2.29064039408867,-1.0492610837438423,2.7454545454545456,2.9836065573770494
Switzerland,269,0.35687732342007433,0.17472118959107807,0.4684014869888476,0.43609022556390975,0.27941176470588236,0.1566784608580274,1.6356877323420074,1.788104089219331,-0.1524163568773234,3.1666666666666665,2.738095238095238
Wales,229,0.3231441048034934,0.2052401746724891,0.47161572052401746,0.32432432432432434,0.3220338983050847,0.002290426019239622,1.2925764192139737,1.611353711790393,-0.31877729257641924,2.554054054054054,2.425925925925926
India,273,0.4542124542124542,0.12454212454212454,0.42124542124542125,0.46710526315789475,0.4380165289256198,0.029088734232274926,2.1904761904761907,1.7802197802197801,0.41025641025641024,3.975806451612903,3.3130434782608695
Japan,416,0.5408653846153846,0.125,0.33413461538461536,0.6272727272727273,0.44387755102040816,0.18339517625231916,2.519230769230769,1.21875,1.3004807692307692,3.7777777777777777,2.223021582733813
Haiti,158,0.4620253164556962,0.0759493670886076,0.4620253164556962,0.4492753623188406,0.47191011235955055,-0.022634750040709972,2.348101265822785,1.9240506329113924,0.4240506329113924,3.835616438356164,2.9178082191780823
Iceland,285,0.43859649122807015,0.16842105263157894,0.3929824561403509,0.4959349593495935,0.3950617283950617,0.10087323095453177,1.817543859649123,1.4280701754385965,0.3894736842105263,2.952,2.3035714285714284
Belgium,254,0.4094488188976378,0.1889763779527559,0.4015748031496063,0.4789915966386555,0.34814814814814815,0.13084344849050733,1.905511811023622,1.641732283464567,0.2637795275590551,3.3365384615384617,2.7450980392156863
Republic of Ireland,240,0.4083333333333333,0.15416666666666667,0.4375,0.45614035087719296,0.36507936507936506,0.0910609857978279,1.45,1.45,0.0,2.5,2.3333333333333335
Portugal,316,0.31645569620253167,0.14240506329113925,0.5411392405063291,0.3018867924528302,0.34615384615384615,-0.04426705370101597,1.2151898734177216,1.9430379746835442,-0.7278481012658228,2.42,2.760233918128655
Malaysia,225,0.27555555555555555,0.14222222222222222,0.5822222222222222,0.2717391304347826,0.2781954887218045,-0.006456358287021902,1.2266666666666666,2.902222222222222,-1.6755555555555555,2.661290322580645,4.137404580152672
Philippines,318,0.36792452830188677,0.09433962264150944,0.5377358490566038,0.41509433962264153,0.32075471698113206,0.09433962264150947,1.7547169811320755,2.449685534591195,-0.6949685534591195,3.3333333333333335,3.573099415204678
New Caledonia,38,0.39473684210526316,0.13157894736842105,0.47368421052631576,0.5,0.16666666666666666,0.33333333333333337,2.1842105263157894,2.210526315789474,-0.02631578947368421,3.6666666666666665,3.111111111111111
Hungary,245,0.3551020408163265,0.15510204081632653,0.4897959183673469,0.3333333333333333,0.37404580152671757,-0.040712468193384255,1.7510204081632652,1.9591836734693877,-0.20816326530612245,3.2988505747126435,2.816666666666667
Spain,296,0.5506756756756757,0.15878378378378377,0.2905405405405405,0.6387096774193548,0.45390070921985815,0.18480896819949666,2.47972972972973,1.0844594594594594,1.3952702702702702,3.6012269938650308,2.0232558139534884
United States,626,0.7635782747603834,0.12779552715654952,0.10862619808306709,0.8267543859649122,0.5941176470588235,0.2326367389060887,2.9185303514377,0.6837060702875399,2.2348242811501597,3.215481171548117,2.0294117647058822
China PR,532,0.5263157894736842,0.15413533834586465,0.31954887218045114,0.599406528189911,0.4,0.199406528189911,2.3101503759398496,1.056390977443609,1.2537593984962405,3.5428571428571427,1.911764705882353
Bulgaria,106,0.18867924528301888,0.1320754716981132,0.6792452830188679,0.14814814814814814,0.23076923076923078,-0.08262108262108264,0.8301886792452831,2.8773584905660377,-2.047169811320755,2.25,3.638888888888889
Czechoslovakia,23,0.43478260869565216,0.30434782608695654,0.2608695652173913,0.5,0.36363636363636365,0.13636363636363635,1.2173913043478262,1.0434782608695652,0.17391304347826086,1.8,2.3333333333333335
Canada,381,0.5380577427821522,0.14960629921259844,0.3123359580052493,0.6648936170212766,0.41450777202072536,0.2503858450005512,2.0603674540682415,1.141732283464567,0.9186351706036745,2.926829268292683,2.100840336134454
Brazil,386,0.5751295336787565,0.12176165803108809,0.30310880829015546,0.6543778801843319,0.47337278106508873,0.18100509911924312,2.5077720207253886,1.1709844559585492,1.3367875647668395,3.3513513513513513,1.9487179487179487
Poland,214,0.4392523364485981,0.14953271028037382,0.411214953271028,0.5,0.38392857142857145,0.11607142857142855,1.7523364485981308,1.7429906542056075,0.009345794392523364,2.723404255319149,2.8863636363636362
North Korea,216,0.6296296296296297,0.1388888888888889,0.23148148148148148,0.6851851851851852,0.5740740740740741,0.11111111111111116,3.3472222222222223,0.8888888888888888,2.4583333333333335,4.676470588235294,2.1
South Korea,362,0.39779005524861877,0.1574585635359116,0.4447513812154696,0.48214285714285715,0.3247422680412371,0.15740058910162003,2.1740331491712706,1.6657458563535912,0.5082872928176796,4.208333333333333,2.62111801242236
Nigeria,384,0.5208333333333334,0.13020833333333334,0.3489583333333333,0.556910569105691,0.45652173913043476,0.10038882997525628,2.0546875,1.4088541666666667,0.6458333333333334,2.835,2.3805970149253732
Ghana,246,0.4715447154471545,0.16260162601626016,0.36585365853658536,0.5454545454545454,0.4,0.1454545454545454,1.9634146341463414,1.5121951219512195,0.45121951219512196,2.8793103448275863,2.477777777777778
Martinique,18,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.125,0.3,-0.175,1.2222222222222223,4.388888888888889,-3.1666666666666665,4.0,6.083333333333333
Trinidad and Tobago,145,0.38620689655172413,0.14482758620689656,0.4689655172413793,0.5294117647058824,0.2597402597402597,0.26967150496562264,2.179310344827586,2.4413793103448276,-0.2620689655172414,4.107142857142857,3.9411764705882355
Jamaica,171,0.39766081871345027,0.08771929824561403,0.5146198830409356,0.5,0.3300970873786408,0.1699029126213592,2.1637426900584797,2.111111111111111,0.05263157894736842,4.338235294117647,3.25
Chile,183,0.3879781420765027,0.15300546448087432,0.45901639344262296,0.43333333333333335,0.34408602150537637,0.08924731182795698,1.5245901639344261,1.6939890710382515,-0.16939890710382513,2.6056338028169015,2.5714285714285716
Guinea,83,0.3493975903614458,0.14457831325301204,0.5060240963855421,0.40625,0.3137254901960784,0.09252450980392157,1.3734939759036144,2.6506024096385543,-1.2771084337349397,2.206896551724138,4.0476190476190474
Papua New Guinea,97,0.5979381443298969,0.061855670103092786,0.3402061855670103,0.5660377358490566,0.6363636363636364,-0.07032590051457976,2.752577319587629,2.484536082474227,0.26804123711340205,3.6724137931034484,5.666666666666667
Cameroon,187,0.45989304812834225,0.1657754010695187,0.37433155080213903,0.5888888888888889,0.3402061855670103,0.24868270332187858,1.5294117647058822,1.5080213903743316,0.0213903743315508,2.244186046511628,2.7
Russia,311,0.49517684887459806,0.1189710610932476,0.3858520900321543,0.49295774647887325,0.4970414201183432,-0.004083673639469931,1.887459807073955,1.4855305466237942,0.40192926045016075,2.720779220779221,2.45
Greece,160,0.29375,0.11875,0.5875,0.2948717948717949,0.2926829268292683,0.002188868042526604,1.21875,2.4,-1.18125,2.6382978723404253,3.3297872340425534
Romania,231,0.4199134199134199,0.19047619047619047,0.38961038961038963,0.4583333333333333,0.3783783783783784,0.07995495495495492,1.8831168831168832,1.6147186147186148,0.2683982683982684,3.1237113402061856,2.6777777777777776
