team,total_matches,win_prob,draw_prob,loss_prob,home_win_prob,away_win_prob,home_advantage,avg_goals_scored,avg_goals_conceded,goal_difference,avg_win_margin,avg_loss_margin
Germany,432,0.6875,0.12731481481481483,0.18518518518518517,0.7479338842975206,0.6105263157894737,0.13740756850804692,2.863425925925926,0.7893518518518519,2.074074074074074,3.494949494949495,1.775
Netherlands,371,0.5094339622641509,0.16711590296495957,0.32345013477088946,0.6229508196721312,0.39893617021276595,0.22401464945936522,2.0673854447439353,1.2075471698113207,0.8598382749326146,3.0,2.066666666666667
Italy,437,0.5446224256292906,0.15102974828375287,0.30434782608695654,0.6289592760180995,0.4583333333333333,0.17062594268476622,2.0983981693363845,1.160183066361556,0.9382151029748284,2.827731092436975,1.9774436090225564
Denmark,512,0.51953125,0.12890625,0.3515625,0.6300813008130082,0.41729323308270677,0.2127880677303014,2.091796875,1.37109375,0.720703125,3.0225563909774436,2.4166666666666665
England,448,0.5602678571428571,0.14732142857142858,0.2924107142857143,0.6808510638297872,0.4272300469483568,0.2536210168814304,2.3013392857142856,1.1696428571428572,1.1316964285714286,3.239043824701195,2.33587786259542
Mexico,594,0.45791245791245794,0.08585858585858586,0.4562289562289562,0.6826923076923077,0.20921985815602837,0.4734724495362793,2.058922558922559,2.080808080808081,-0.021885521885521887,3.3566176470588234,3.4169741697416973
France,381,0.6194225721784777,0.15748031496062992,0.2230971128608924,0.7073170731707317,0.5170454545454546,0.19027161862527708,2.254593175853018,0.9343832020997376,1.3202099737532809,2.8771186440677967,2.070588235294118
Argentina,247,0.41295546558704455,0.1214574898785425,0.46558704453441296,0.6528925619834711,0.18253968253968253,0.47035287944378856,1.6518218623481782,2.0080971659919027,-0.3562753036437247,2.911764705882353,3.347826086956522
Scotland,285,0.45964912280701753,0.09824561403508772,0.4421052631578947,0.5217391304347826,0.4013605442176871,0.12037858621709552,1.9087719298245613,1.6070175438596492,0.3017543859649123,2.9618320610687023,2.3968253968253967
Finland,416,0.34134615384615385,0.16105769230769232,0.49759615384615385,0.489010989010989,0.2264957264957265,0.26251526251526247,1.4134615384615385,1.7668269230769231,-0.35336538461538464,2.8450704225352115,2.6618357487922704
Thailand,446,0.5560538116591929,0.08071748878923767,0.3632286995515695,0.6995884773662552,0.3842364532019704,0.31535202416428476,2.585201793721973,1.8251121076233183,0.7600896860986547,3.842741935483871,3.7901234567901234
Hong Kong,174,0.27586206896551724,0.07471264367816093,0.6494252873563219,0.3717948717948718,0.19791666666666666,0.17387820512820515,1.1206896551724137,3.3563218390804597,-2.235632183908046,3.0416666666666665,4.734513274336283
New Zealand,364,0.4230769230769231,0.0989010989010989,0.47802197802197804,0.6453488372093024,0.22395833333333334,0.421390503875969,2.129120879120879,1.5961538461538463,0.532967032967033,4.292207792207792,2.6839080459770117
Australia,420,0.5238095238095238,0.11666666666666667,0.3595238095238095,0.6965811965811965,0.3064516129032258,0.39012958367797074,2.4452380952380954,1.4476190476190476,0.9976190476190476,3.640909090909091,2.5298013245033113
