team,total_matches,win_prob,draw_prob,loss_prob,home_win_prob,away_win_prob,home_advantage,avg_goals_scored,avg_goals_conceded,goal_difference,avg_win_margin,avg_loss_margin
Germany,499,0.655310621242485,0.12424849699398798,0.22044088176352705,0.697508896797153,0.6009174311926605,0.0965914656044925,2.67935871743487,0.9178356713426854,1.7615230460921845,3.477064220183486,2.3454545454545452
Netherlands,442,0.5158371040723982,0.1493212669683258,0.334841628959276,0.6318181818181818,0.4009009009009009,0.23091728091728092,2.085972850678733,1.1764705882352942,0.9095022624434389,3.236842105263158,2.27027027027027
Italy,551,0.542649727767695,0.12885662431941924,0.32849364791288566,0.6187050359712231,0.4652014652014652,0.15350357076975785,2.014519056261343,1.2413793103448276,0.7731397459165155,2.903010033444816,2.4419889502762433
Denmark,665,0.5203007518796993,0.10977443609022557,0.3699248120300752,0.6081871345029239,0.42724458204334365,0.1809425524595803,1.9879699248120302,1.299248120300752,0.6887218045112782,3.121387283236994,2.5284552845528454
England,544,0.5496323529411765,0.14338235294117646,0.3069852941176471,0.6111111111111112,0.48046875,0.13064236111111116,2.1433823529411766,1.181985294117647,0.9613970588235294,3.17056856187291,2.5449101796407185
Mexico,973,0.4779033915724563,0.0750256937307297,0.447070914696814,0.5863874345549738,0.3225,0.26388743455497377,1.8859198355601234,1.6002055498458376,0.2857142857142857,3.486021505376344,3.0873563218390805
Argentina,386,0.41450777202072536,0.10880829015544041,0.47668393782383417,0.5583756345177665,0.26455026455026454,0.29382536996750197,1.5958549222797926,1.9067357512953367,-0.31088082901554404,3.2875,3.510869565217391
France,439,0.5968109339407744,0.14578587699316628,0.25740318906605925,0.6810344827586207,0.5024154589371981,0.17861902382142258,2.1685649202733486,1.0523917995444192,1.1161731207289294,2.931297709923664,2.4601769911504423
Scotland,332,0.4789156626506024,0.09036144578313253,0.4307228915662651,0.5163398692810458,0.44692737430167595,0.06941249497936985,1.9608433734939759,1.6174698795180722,0.3433734939759036,3.1761006289308176,2.734265734265734
Finland,499,0.37074148296593185,0.1462925851703407,0.48296593186372744,0.48660714285714285,0.27636363636363637,0.21024350649350648,1.5050100200400802,1.6793587174348696,-0.1743486973947896,3.145945945945946,2.775933609958506
