date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,qualifier,stage,is_synthetic,group_id,match_order
1956-09-23,Germany,Netherlands,2.0,1.0,Friendly,Essen,Germany,False,0,friendly,False,,
1957-07-28,Germany,England,1.0,1.0,Friendly,Stuttgart,Germany,False,0,friendly,False,,
1957-10-13,Germany,Netherlands,2.0,0.0,Friendly,Berlin,Germany,False,0,friendly,False,,
1957-11-03,Netherlands,Austria,8.0,1.0,UEFA Euro,Berlin,Germany,True,0,group,False,,
1957-11-03,Germany,England,0.0,4.0,UEFA Euro,Berlin,Germany,False,0,final,False,,
1969-11-01,Italy,France,1.0,0.0,UEFA Euro,Novara,Italy,False,0,group,False,,
1969-11-01,Denmark,England,4.0,3.0,UEFA Euro,Aosta,Italy,True,0,semi_final,False,,
1969-11-02,England,France,2.0,0.0,UEFA Euro,Turin,Italy,True,0,semi_final,False,,
1969-11-02,Italy,Denmark,3.0,1.0,UEFA Euro,Turin,Italy,False,0,final,False,,
1970-07-06,Mexico,Austria,9.0,0.0,FIFA World Cup,Bari,Italy,True,0,quarter_final,False,,
1970-07-06,England,Germany,5.0,1.0,FIFA World Cup,Genova,Italy,True,0,group,False,,
1970-07-09,Denmark,Germany,6.0,1.0,FIFA World Cup,Bologna,Italy,True,0,quarter_final,False,,
1970-07-09,Italy,Switzerland,2.0,1.0,FIFA World Cup,Salerno,Italy,False,0,quarter_final,False,,
1970-07-10,Denmark,England,2.0,0.0,FIFA World Cup,Milan,Italy,True,0,quarter_final,False,,
1970-07-11,Italy,Mexico,2.0,1.0,FIFA World Cup,Napoli,Italy,False,0,semi_final,False,,
1970-07-13,Mexico,England,3.0,2.0,FIFA World Cup,Torino,Italy,True,0,semi_final,False,,
1970-07-15,Italy,Denmark,0.0,2.0,FIFA World Cup,Torino,Italy,False,0,final,False,,
1971-08-15,Mexico,Argentina,3.0,1.0,FIFA World Cup,Mexico City,Mexico,False,0,group,False,,
1971-08-18,Denmark,France,3.0,0.0,FIFA World Cup,Guadalajara,Mexico,True,0,group,False,,
1971-08-21,France,Italy,0.0,1.0,FIFA World Cup,Guadalajara,Mexico,True,0,group,False,,
1971-08-21,Argentina,England,4.0,1.0,FIFA World Cup,Mexico City,Mexico,True,0,group,False,,
1971-08-22,Denmark,Italy,1.0,1.0,FIFA World Cup,Guadalajara,Mexico,True,0,quarter_final,False,,
1971-08-22,Mexico,England,4.0,0.0,FIFA World Cup,Mexico City,Mexico,False,0,quarter_final,False,,
1971-08-28,Denmark,Argentina,5.0,0.0,FIFA World Cup,Mexico City,Mexico,True,0,quarter_final,False,,
